# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	379383
#@/user_id	1ce8a279-56fe-406e-b0d5-b1f889d2d1cd
ao bi 	澳幣	c=1 d=1.74552e-171 t=379383
ao di 	奧迪	c=3 d=1.28215e-71 t=379383
ao en 	奧恩	c=1 d=5.68148e-26 t=379383
ao er liang 	奧爾良	c=2 d=0 t=379383
ao guo qu 	熬過去	c=1 d=1.03309e-30 t=379383
ao jiao 	傲嬌	c=1 d=1.70594e-19 t=379383
ao la 	奧拉	c=0 d=6.17711e-11 t=379383
ao la fu 	奧拉夫	c=1 d=6.20808e-10 t=379383
ao man 	傲慢	c=1 d=8.38662e-78 t=379383
ao men 	澳門	c=5 d=8.00856e-06 t=379383
ao ni er 	奧尼爾	c=3 d=0.0413782 t=379383
ao shu 	奧數	c=3 d=2.33457e-92 t=379383
ao si ka 	奧斯卡	c=19 d=0.000366061 t=379383
ao te lai si 	奧特萊斯	c=1 d=2.82654e-77 t=379383
ao tong ping 	奧統平	c=1 d=4.14491e-169 t=379383
ao ye 	熬夜	c=14 d=0.00737249 t=379383
ao you 	傲遊	c=1 d=3.76695e-103 t=379383
ao yuan 	澳元	c=5 d=1.07785e-29 t=379383
ao yun huo ju 	奧運火炬	c=1 d=0 t=379383
ao zhou 	澳洲	c=6 d=8.5325e-75 t=379383
ba 	八	c=1 d=3.86663e-29 t=379383
ba 	吧	c=1559 d=0.961726 t=379383
ba 	壩	c=1 d=3.95941e-101 t=379383
ba 	巴	c=4 d=5.61694e-68 t=379383
ba 	扒	c=2 d=7.43785e-283 t=379383
ba 	把	c=563 d=0.542082 t=379383
ba 	拔	c=21 d=3.25364e-44 t=379383
ba 	爸	c=18 d=1.30736e-34 t=379383
ba 	霸	c=2 d=4.98093e-66 t=379383
ba ba 	巴巴	c=1 d=0.00465413 t=379383
ba ba 	爸爸	c=13 d=0.0615697 t=379383
ba ba 	粑粑	c=2 d=5.36743e-151 t=379383
ba bai 	八佰	c=4 d=1.1333e-72 t=379383
ba bai 	八百	c=3 d=1.00035e-92 t=379383
ba bai biao bing 	八百標兵	c=1 d=2.52944e-94 t=379383
ba bao zhou 	八寶粥	c=3 d=0 t=379383
ba bing 	把柄	c=6 d=1.06509e-36 t=379383
ba bu chu lai 	吧不出來	c=1 d=4.69421e-45 t=379383
ba chu 	拔出	c=4 d=1.38826e-47 t=379383
ba da tong 	八達通	c=2 d=2.53407e-17 t=379383
ba dao 	八刀	c=1 d=2.14287e-86 t=379383
ba dao 	霸道	c=3 d=1.28836e-69 t=379383
ba dao fen 	八刀粉	c=3 d=8.06651e-86 t=379383
ba dian 	八點	c=1 d=1.87372e-05 t=379383
ba dian ban 	八點半	c=2 d=1.88311e-05 t=379383
ba diao 	拔掉	c=2 d=7.76079e-48 t=379383
ba fei te 	巴菲特	c=3 d=8.7915e-162 t=379383
ba gong 	罷工	c=1 d=9.48682e-87 t=379383
ba gua 	八卦	c=2 d=8.01674e-18 t=379383
ba he li 	八合理	c=2 d=8.96139e-05 t=379383
ba ji 	巴基	c=1 d=0 t=379383
ba ji si tan 	巴基斯坦	c=1 d=2.76162e-39 t=379383
ba ke li 	巴克利	c=1 d=7.42411e-85 t=379383
ba la 	巴拉	c=1 d=3.05103e-35 t=379383
ba le 	罷了	c=0 d=1.17811e-47 t=379383
ba le ba le 	罷了罷了	c=1 d=1.18402e-46 t=379383
ba lei 	芭蕾	c=2 d=7.71601e-31 t=379383
ba li 	巴里	c=1 d=2.85309e-40 t=379383
ba liang 	拔涼	c=2 d=2.35645e-194 t=379383
ba ma 	爸媽	c=7 d=1.46677e-36 t=379383
ba mei 	把妹	c=1 d=4.18928e-206 t=379383
ba na ma 	巴拿馬	c=1 d=0 t=379383
ba ni 	把你	c=6 d=3.17166e-50 t=379383
ba pei zhi 	吧配置	c=1 d=2.07071e-34 t=379383
ba qi 	霸氣	c=3 d=0 t=379383
ba qian 	把錢	c=1 d=7.94778e-35 t=379383
ba qiang 	八強	c=1 d=1.26763e-84 t=379383
ba qu 	八區	c=1 d=1.92502e-58 t=379383
ba ren 	把人	c=2 d=1.41637e-07 t=379383
ba sa 	巴薩	c=2 d=6.75635e-121 t=379383
ba shou 	把手	c=2 d=0 t=379383
ba ta 	把他	c=5 d=1.21406e-22 t=379383
ba ta 	把它	c=14 d=0.000997758 t=379383
ba ta men 	吧他們	c=2 d=0 t=379383
ba ta men 	把它們	c=1 d=0 t=379383
ba wang 	霸王	c=3 d=3.62329e-29 t=379383
ba wang bie ji 	霸王別姬	c=4 d=8.44239e-09 t=379383
ba wang hua 	霸王花	c=1 d=3.64145e-28 t=379383
ba wo 	把我	c=19 d=1.56252e-10 t=379383
ba wo 	把握	c=4 d=2.05793e-20 t=379383
ba wo zhu 	把握住	c=1 d=6.55627e-240 t=379383
ba wu 	吧務	c=1 d=4.76809e-111 t=379383
ba xi 	巴西	c=3 d=5.67858e-20 t=379383
ba ya 	拔牙	c=1 d=0 t=379383
ba zhan 	霸佔	c=1 d=0 t=379383
ba zhang 	巴掌	c=2 d=3.65041e-145 t=379383
ba zhe 	把這	c=0 d=1.08458e-15 t=379383
ba zhe ge 	把這個	c=2 d=1.09001e-14 t=379383
ba zi 	八字	c=3 d=9.37812e-19 t=379383
ba zi 	靶子	c=1 d=4.26274e-234 t=379383
bai 	佰	c=8 d=8.85451e-93 t=379383
bai 	掰	c=6 d=0.0644036 t=379383
bai 	擺	c=5 d=1.91052e-20 t=379383
bai 	柏	c=1 d=6.55287e-87 t=379383
bai 	白	c=34 d=3.17673e-10 t=379383
bai 	百	c=7 d=0.000370744 t=379383
bai bai 	拜拜	c=3 d=3.83415e-17 t=379383
bai bai 	白白	c=5 d=3.85336e-17 t=379383
bai ban 	白板	c=1 d=2.66338e-54 t=379383
bai cai 	白菜	c=1 d=3.31867e-83 t=379383
bai cai jia 	白菜價	c=1 d=0 t=379383
bai che 	白扯	c=2 d=0 t=379383
bai chong xi 	白崇禧	c=1 d=5.29794e-86 t=379383
bai da 	百大	c=1 d=6.77683e-100 t=379383
bai da 	百搭	c=1 d=0 t=379383
bai de 	白的	c=1 d=2.06889e-53 t=379383
bai deng 	拜登	c=1 d=1.71263e-65 t=379383
bai du 	百度	c=39 d=0.000169288 t=379383
bai du di tu 	百度地圖	c=2 d=3.9481e-38 t=379383
bai du wang pan 	百度網盤	c=1 d=6.42858e-97 t=379383
bai du yun 	百度雲	c=7 d=5.12132e-19 t=379383
bai fang 	拜訪	c=1 d=2.82413e-67 t=379383
bai fang 	擺放	c=1 d=4.64355e-35 t=379383
bai fen 	百分	c=1 d=4.20196e-124 t=379383
bai fen bi 	百分比	c=3 d=1.61202e-88 t=379383
bai fen hao 	白分號	c=1 d=2.03421e-60 t=379383
bai fen zhi 	百分之	c=6 d=2.96751e-32 t=379383
bai fen zhi bai 	百分之百	c=1 d=6.89376e-66 t=379383
bai guang 	白光	c=2 d=0.0525053 t=379383
bai hu 	白虎	c=1 d=0 t=379383
bai jia 	敗家	c=1 d=0 t=379383
bai jia 	百家	c=0 d=5.67146e-65 t=379383
bai jia hao 	百家號	c=6 d=4.31691e-63 t=379383
bai jia xing 	百家姓	c=1 d=9.57463e-19 t=379383
